FID_,CID,ano1991,ano1992,ano1993,ano1994,ano1995,ano1996,ano1997,ano1998,ano1999,ano2000,x,y
,329,0,0,0,0,0,0,0,0,0,0,-7.5090399,37.2517014
,330,0,0,0,0,0,0,0,0,0,0,-7.3312702,40.3242989
,331,0,0,0,0,0,0,0,0,0,0,-9.3637199,38.8191986
,332,0,0,0,0,0,0,0,0,0,0,-8.7266302,41.4180984
,333,0,0,0,0,0,0,0,0,0,0,-9.0775900,39.3728981
,334,0,0,0,0,0,0,0,0,0,0,-8.4561005,38.3021011
,335,0,0,0,0,0,0,0,0,0,0,-7.2672000,38.8246994
,336,0,0,0,0,0,0,0,0,0,0,-8.3300304,39.4471016
,337,0,0,0,0,0,0,0,0,0,0,-7.4562402,37.9353981
,338,0,0,0,0,0,0,0,0,0,0,-8.4114704,41.8986015
,339,0,0,0,0,0,0,0,0,0,0,-8.3125401,37.5189018
,340,0,0,0,0,0,0,0,0,0,0,-7.7793298,37.7961998
,341,0,0,0,0,0,0,0,0,0,0,-7.0408602,38.8787994
,342,0,0,0,0,1,0,0,0,0,0,-8.7474804,39.6310997
,343,0,0,0,0,0,0,0,0,0,0,-8.2137699,38.7993011
,344,0,0,0,0,0,0,0,0,0,0,-8.7397804,41.3190994
,345,0,0,0,0,0,0,0,0,0,0,-7.5304999,40.9561005
,346,0,0,0,0,0,0,0,0,0,0,-8.6451502,37.7731018
,347,0,0,0,0,0,0,0,0,0,0,-7.1423502,40.8306007
,348,0,0,0,0,0,0,0,0,0,0,-8.4798899,38.0830002
,349,0,0,0,0,0,0,0,0,0,0,-7.2791100,41.6043015
,350,0,0,0,0,0,0,0,0,0,0,-8.5744104,41.1260986
,351,0,0,0,0,0,0,0,0,0,0,-8.4802399,39.1139984
,352,0,0,0,0,0,0,0,0,0,0,-7.2216301,41.4257011
,353,0,0,0,0,0,0,0,0,0,0,-8.5455599,38.4067993
,354,0,0,0,0,0,0,0,0,0,0,-8.3760204,38.7127991
,355,0,0,0,0,0,0,0,0,0,0,-7.5651498,40.5281982
,356,0,0,0,0,0,0,0,0,0,0,-7.7570601,37.4408989
,357,0,0,0,0,0,0,0,0,0,0,-8.6955099,37.9814987
,358,0,0,0,0,0,0,0,0,0,0,-7.4256101,39.8558998
,359,0,0,0,0,0,0,0,0,0,0,-7.2046700,38.1927986
,360,1,0,0,0,0,0,0,0,0,0,-8.3155203,39.6477013
,361,0,0,0,0,0,0,0,0,0,0,-7.8917398,41.0121002
,362,0,0,0,0,0,0,0,0,0,0,-7.9692502,41.3694992
,363,0,0,0,0,0,0,0,0,0,0,-8.2406998,39.3353996
,364,0,0,0,0,0,0,0,0,0,0,-8.5429401,37.8671989
,365,0,0,0,0,0,0,0,0,0,0,-7.6117902,39.9262009
,366,0,0,0,0,0,0,0,0,0,0,-8.6755304,37.0863991
,367,0,0,0,0,0,0,0,0,0,0,-7.1904898,40.4317017
,368,0,0,0,0,0,0,0,0,0,0,-8.6931896,41.2602997
,369,0,0,0,0,0,0,0,0,0,0,-6.9044399,41.1111984
,370,0,0,0,0,0,0,0,0,0,0,-7.7459502,41.0195007
,371,0,0,0,0,0,0,0,0,0,0,-7.5794301,38.3797989
,372,0,0,0,0,0,0,0,0,0,0,-7.8589201,38.1526985
,373,0,0,0,0,0,0,0,0,0,0,-7.2026801,41.3586006
,374,0,0,0,0,0,0,0,0,0,0,-8.0014200,40.7523994
,375,0,0,0,0,0,1,0,0,0,0,-8.5359602,41.8205986
,376,0,0,0,0,0,0,0,0,0,0,-8.4261799,41.9814987
,377,0,0,0,0,0,0,0,0,0,0,-7.6436601,39.3834000
,378,0,0,0,0,0,0,0,0,0,0,-7.8742399,41.6883011
,379,0,0,0,0,0,0,0,0,0,0,-7.9041800,37.8893013
,380,0,0,0,0,0,0,0,0,0,0,-8.8669395,39.8959999
,381,0,0,0,0,0,0,0,0,0,0,-7.7444100,41.7024002
,382,0,0,0,0,0,0,0,0,0,0,-7.2267499,40.9057007
,383,0,0,0,0,0,0,0,0,0,0,-7.5917501,37.4165993
