"caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes","justice","justiceName","vote","opinion","direction","majority","firstAgreement","secondAgreement"
"1803-006","1803-006-01","1803-006-01-01","1803-006-01-01-01-01",2/25/1803,6,"5 U.S. 259",,"2 L. Ed. 101","1803 U.S. LEXIS 359",1803,401,"Marshall",,"FENWICK v. SEARS'S ADMINISTRATORS",2/18/1803,,138,,102,,13,,,0,440,,440,,1,1,,2,1,3,0,1,0,0,90320,9,1,0,3,4,6,600,,,14,1,6,0,14,"JMarshall",1,1,1,2,,
"1803-006","1803-006-01","1803-006-01-01","1803-006-01-01-01-02",2/25/1803,6,"5 U.S. 259",,"2 L. Ed. 101","1803 U.S. LEXIS 359",1803,401,"Marshall",,"FENWICK v. SEARS'S ADMINISTRATORS",2/18/1803,,138,,102,,13,,,0,440,,440,,1,1,,2,1,3,0,1,0,0,90320,9,1,0,3,4,6,600,,,14,1,6,0,3,"WCushing",1,1,1,2,,
"1803-006","1803-006-01","1803-006-01-01","1803-006-01-01-01-03",2/25/1803,6,"5 U.S. 259",,"2 L. Ed. 101","1803 U.S. LEXIS 359",1803,401,"Marshall",,"FENWICK v. SEARS'S ADMINISTRATORS",2/18/1803,,138,,102,,13,,,0,440,,440,,1,1,,2,1,3,0,1,0,0,90320,9,1,0,3,4,6,600,,,14,1,6,0,8,"WPaterson",1,1,1,2,,
"1803-006","1803-006-01","1803-006-01-01","1803-006-01-01-01-04",2/25/1803,6,"5 U.S. 259",,"2 L. Ed. 101","1803 U.S. LEXIS 359",1803,401,"Marshall",,"FENWICK v. SEARS'S ADMINISTRATORS",2/18/1803,,138,,102,,13,,,0,440,,440,,1,1,,2,1,3,0,1,0,0,90320,9,1,0,3,4,6,600,,,14,1,6,0,10,"SChase",1,1,1,2,,
"1803-006","1803-006-01","1803-006-01-01","1803-006-01-01-01-05",2/25/1803,6,"5 U.S. 259",,"2 L. Ed. 101","1803 U.S. LEXIS 359",1803,401,"Marshall",,"FENWICK v. SEARS'S ADMINISTRATORS",2/18/1803,,138,,102,,13,,,0,440,,440,,1,1,,2,1,3,0,1,0,0,90320,9,1,0,3,4,6,600,,,14,1,6,0,12,"BWashington",1,1,1,2,,
"1803-006","1803-006-01","1803-006-01-01","1803-006-01-01-01-06",2/25/1803,6,"5 U.S. 259",,"2 L. Ed. 101","1803 U.S. LEXIS 359",1803,401,"Marshall",,"FENWICK v. SEARS'S ADMINISTRATORS",2/18/1803,,138,,102,,13,,,0,440,,440,,1,1,,2,1,3,0,1,0,0,90320,9,1,0,3,4,6,600,,,14,1,6,0,13,"AMoore",1,1,1,2,,
"1803-007","1803-007-01","1803-007-01-01","1803-007-01-01-01-01",2/25/1803,6,"5 U.S. 318",,"2 L. Ed. 121","1803 U.S. LEXIS 364",1803,401,"Marshall",,"UNITED STATES v. R. T. HOOE AND OTHERS",2/25/1803,,27,,171,,13,,,0,440,,440,,0,1,,1,1,9,0,0,0,0,90320,9,1,0,4,,6,600,"Judiciary Act of 1789, sec. 19",,14,1,6,0,14,"JMarshall",1,1,1,2,,
"1803-007","1803-007-01","1803-007-01-01","1803-007-01-01-01-02",2/25/1803,6,"5 U.S. 318",,"2 L. Ed. 121","1803 U.S. LEXIS 364",1803,401,"Marshall",,"UNITED STATES v. R. T. HOOE AND OTHERS",2/25/1803,,27,,171,,13,,,0,440,,440,,0,1,,1,1,9,0,0,0,0,90320,9,1,0,4,,6,600,"Judiciary Act of 1789, sec. 19",,14,1,6,0,3,"WCushing",1,1,1,2,,
"1803-007","1803-007-01","1803-007-01-01","1803-007-01-01-01-03",2/25/1803,6,"5 U.S. 318",,"2 L. Ed. 121","1803 U.S. LEXIS 364",1803,401,"Marshall",,"UNITED STATES v. R. T. HOOE AND OTHERS",2/25/1803,,27,,171,,13,,,0,440,,440,,0,1,,1,1,9,0,0,0,0,90320,9,1,0,4,,6,600,"Judiciary Act of 1789, sec. 19",,14,1,6,0,8,"WPaterson",1,1,1,2,,
"1803-007","1803-007-01","1803-007-01-01","1803-007-01-01-01-04",2/25/1803,6,"5 U.S. 318",,"2 L. Ed. 121","1803 U.S. LEXIS 364",1803,401,"Marshall",,"UNITED STATES v. R. T. HOOE AND OTHERS",2/25/1803,,27,,171,,13,,,0,440,,440,,0,1,,1,1,9,0,0,0,0,90320,9,1,0,4,,6,600,"Judiciary Act of 1789, sec. 19",,14,1,6,0,10,"SChase",1,1,1,2,,
"1803-007","1803-007-01","1803-007-01-01","1803-007-01-01-01-05",2/25/1803,6,"5 U.S. 318",,"2 L. Ed. 121","1803 U.S. LEXIS 364",1803,401,"Marshall",,"UNITED STATES v. R. T. HOOE AND OTHERS",2/25/1803,,27,,171,,13,,,0,440,,440,,0,1,,1,1,9,0,0,0,0,90320,9,1,0,4,,6,600,"Judiciary Act of 1789, sec. 19",,14,1,6,0,12,"BWashington",1,1,1,2,,
"1803-007","1803-007-01","1803-007-01-01","1803-007-01-01-01-06",2/25/1803,6,"5 U.S. 318",,"2 L. Ed. 121","1803 U.S. LEXIS 364",1803,401,"Marshall",,"UNITED STATES v. R. T. HOOE AND OTHERS",2/25/1803,,27,,171,,13,,,0,440,,440,,0,1,,1,1,9,0,0,0,0,90320,9,1,0,4,,6,600,"Judiciary Act of 1789, sec. 19",,14,1,6,0,13,"AMoore",1,1,1,2,,
"1803-008","1803-008-01","1803-008-01-01","1803-008-01-01-01-02",2/26/1803,1,"5 U.S. 194",,"2 L. Ed. 79","1803 U.S. LEXIS 354",1803,401,"Marshall",,"WILSON v. LENOX AND MAITLAND",2/12/1803,,138,,135,,13,,,0,440,,440,,0,1,,3,1,3,0,1,0,0,140080,14,3,0,7,4,8,800,"NULL",14,3,1,6,0,3,"WCushing",1,1,,2,0,0
"1803-008","1803-008-01","1803-008-01-01","1803-008-01-01-01-03",2/26/1803,1,"5 U.S. 194",,"2 L. Ed. 79","1803 U.S. LEXIS 354",1803,401,"Marshall",,"WILSON v. LENOX AND MAITLAND",2/12/1803,,138,,135,,13,,,0,440,,440,,0,1,,3,1,3,0,1,0,0,140080,14,3,0,7,4,8,800,"NULL",14,3,1,6,0,8,"WPaterson",1,1,,2,0,0
"1803-008","1803-008-01","1803-008-01-01","1803-008-01-01-01-04",2/26/1803,1,"5 U.S. 194",,"2 L. Ed. 79","1803 U.S. LEXIS 354",1803,401,"Marshall",,"WILSON v. LENOX AND MAITLAND",2/12/1803,,138,,135,,13,,,0,440,,440,,0,1,,3,1,3,0,1,0,0,140080,14,3,0,7,4,8,800,"NULL",14,3,1,6,0,10,"SChase",1,1,,2,0,0
"1803-008","1803-008-01","1803-008-01-01","1803-008-01-01-01-05",2/26/1803,1,"5 U.S. 194",,"2 L. Ed. 79","1803 U.S. LEXIS 354",1803,401,"Marshall",,"WILSON v. LENOX AND MAITLAND",2/12/1803,,138,,135,,13,,,0,440,,440,,0,1,,3,1,3,0,1,0,0,140080,14,3,0,7,4,8,800,"NULL",14,3,1,6,0,12,"BWashington",1,1,,2,0,0
"1803-008","1803-008-01","1803-008-01-01","1803-008-01-01-01-06",2/26/1803,1,"5 U.S. 194",,"2 L. Ed. 79","1803 U.S. LEXIS 354",1803,401,"Marshall",,"WILSON v. LENOX AND MAITLAND",2/12/1803,,138,,135,,13,,,0,440,,440,,0,1,,3,1,3,0,1,0,0,140080,14,3,0,7,4,8,800,"NULL",14,3,1,6,0,13,"AMoore",1,1,,2,0,0
"1803-008","1803-008-01","1803-008-01-01","1803-008-01-01-01-07",2/26/1803,1,"5 U.S. 194",,"2 L. Ed. 79","1803 U.S. LEXIS 354",1803,401,"Marshall",,"WILSON v. LENOX AND MAITLAND",2/12/1803,,138,,135,,13,,,0,440,,440,,0,1,,3,1,3,0,1,0,0,140080,14,3,0,7,4,8,800,"NULL",14,3,1,6,0,14,"JMarshall",1,2,,2,0,0
"1803-009","1803-009-01","1803-009-01-01","1803-009-01-01-01-01",2/26/1803,6,"5 U.S. 282",,"2 L. Ed. 109","1803 U.S. LEXIS 360",1803,401,"Marshall",,"THOMPSON v. JAMESON",2/23/1803,,163,,135,,13,,,0,440,,440,,0,1,,1,1,3,0,1,0,0,20100,2,2,0,7,4,8,800,"NULL",,14,1,6,0,14,"JMarshall",3,2,2,2,,
"1803-009","1803-009-01","1803-009-01-01","1803-009-01-01-01-02",2/26/1803,6,"5 U.S. 282",,"2 L. Ed. 109","1803 U.S. LEXIS 360",1803,401,"Marshall",,"THOMPSON v. JAMESON",2/23/1803,,163,,135,,13,,,0,440,,440,,0,1,,1,1,3,0,1,0,0,20100,2,2,0,7,4,8,800,"NULL",,14,1,6,0,3,"WCushing",1,1,2,2,,
